Net Range,Organization Name,Machines Responding
103.177.160.0 - 103.177.161.255,Host Tel,1
45.200.241.0 - 45.200.241.255,LuoGeLang (France) Limited,1
156.59.0.0 - 156.59.255.255,Asia Pacific Network Information Centre,3
45.33.198.0 - 45.33.199.255,"Genesis Hosting Solutions, LLC",2
45.203.78.0 - 45.203.78.255,DINGFENG_Network,1
160.129.0.0 - 160.129.255.255,Vanderbilt University Medical Center,1
177.222.32.0/19,Telefónica Celular de Bolivia S.A.,1
64.111.80.0 - 64.111.95.255,ACN,1
27.105.0.0 - 27.105.255.255,Taipei Taiwan 115,1
15.235.188.96 - 15.235.188.127,OVH Singapore PTE. LTD,1
153.175.0.0/17,Open Computer Network,1
131.216.0.0 - 131.216.255.255,Nevada System of Higher Education,1
119.144.0.0 - 119.147.255.255,China Telecom,2
207.5.128.0 - 207.5.191.255,Great Works Internet,1
117.20.96.0 - 117.20.103.255,KDDI Web Communications Inc.,2
190.18.0.0/15,Telecom Argentina S.A.,1
121.32.240.0 - 121.32.247.255,China Telecom,1
36.255.188.0 - 36.255.191.255,Transferred to the RIPE region on 2023-03-29T14:02:42Z.,1
200.110.48.0/20,Cooperativa de Telecomunicaciones Oruro Ltda - COTEOR,4
199.10.87.0 - 199.10.87.255,ZochNet,1
182.48.0.0 - 182.48.0.255,SAKURA Internet Inc.,1
201.157.128.0/18,"Gigacable de Aguascalientes, S.A. de C.V.",1
121.143.3.128 - 121.143.3.191 (/26),KT,1
121.136.209.0 - 121.136.209.255 (/24),Sudogwongangnambonbu,1
140.163.0.0 - 140.163.255.255,Memorial Sloan-Kettering Cancer Center,1
125.124.0.0 - 125.124.255.255,China Telecom,1
162.17.192.0 - 162.17.223.255,"Comcast Cable Communications, LLC",1
162.93.0.0 - 162.93.255.255,"Charles Schwab & Co., Inc.",1
173.44.163.32 - 173.44.163.63,Virtual Machine Solutions LLC,1
104.201.64.0 - 104.201.127.255,Mediacom Communications Corporation,2
216.198.178.0 - 216.198.179.255,"Dobson Technologies - Transport and Telecom Solutions, LLC",1
67.212.16.0 - 67.212.31.255,"ALENCO COMMUNICATIONS, INC",1
147.135.76.0 - 147.135.79.255,OVH US LLC,3
104.251.121.0 - 104.251.121.255,"1st Class Hosting, LLC",1
177.137.0.0/20,Net Onze Provedor de Acesso a Internet Eireli,1
65.61.192.0 - 65.61.255.255,In2net Network Inc.,1
177.93.192.0/19,Holistica Provedor Internet Ltda,1
50.86.0.0 - 50.86.255.255,C Spire Fiber,2
221.146.25.0 - 221.146.25.255 (/24),Korea Telecom,1
104.82.240.0 - 104.82.255.255,"Akamai International, BV",1
170.10.224.0 - 170.10.255.255,City Wide Communications Inc.,1
69.65.0.0 - 69.65.63.255,GigeNET,2
135.148.40.0 - 135.148.47.255,OVH US LLC,2
208.91.20.0 - 208.91.23.255,"Amedisys, Inc.",1
170.130.92.0 - 170.130.92.255,MClub,1
103.123.162.0 - 103.123.163.255,Shanghai Xunhou Human Resource Co.,1
67.210.80.0 - 67.210.95.255,Finastra USA Corporation,1
206.201.0.0 - 206.201.15.255,Asia Pacific Network Information Centre,1
205.201.52.0 - 205.201.53.255,"Cal.net, Inc.",1
66.242.64.0 - 66.242.95.255,Arvig Enterprises Inc.,1
122.184.64.0 - 122.184.127.255,INDIA,1
203.198.32.0 - 203.198.255.255,PCCW IMS Limited,1
66.114.32.0 - 66.114.47.255,PogoZone,1
50.7.128.0 - 50.7.131.255,FDCservers.net,1
67.208.144.0 - 67.208.159.255,CyrusOne LLC,1
199.175.241.0 - 199.175.241.255,"DRH Internet, Inc.",1
220.70.54.0 - 220.70.54.255 (/24),KT,1
199.96.44.0 - 199.96.47.255,"AMTOTE INTERNATIONAL, INC.",1
198.62.62.0 - 198.62.63.255,HEALTH MARKET SCIENCE,1
14.102.172.0 - 14.102.175.255,Transferred to the ARIN region on 2017-02-27T22:51:05Z.,1
104.218.8.0 - 104.218.15.255,"A2 Hosting, Inc.",1
192.68.112.0 - 192.68.112.255,Berea College,1
67.55.2.0 - 67.55.3.255,Canaca-com Inc.,1
205.250.0.0 - 205.250.255.255,TELUS Communications Inc.,1
68.232.112.0 - 68.232.127.255,Windstream Communications LLC,1
182.158.0.0 - 182.158.255.255,SOFTBANK TELECOM Corp.,1
216.51.128.0 - 216.51.255.255,Aureon Network Services,1
210.19.0.0 - 210.19.255.255,TT DOTCOM SDN BHD,1
154.218.183.0 - 154.218.183.255,Longteng Network,1
103.213.38.0 - 103.213.39.255,GOTMYHOST,1
125.39.165.0 - 125.39.165.255,CNC Group CHINA169 Tianjin Province Network,1
173.205.220.0 - 173.205.221.255,Linux Global,1
206.167.240.0 - 206.167.241.255,Cegep Sorel-Tracy,1
197.245.172.0 - 197.245.173.255,FB-RJ,2
181.176.0.0/16,VIETTEL PERÚ S.A.C.,1
162.119.0.0 - 162.119.255.255,"Kaiser Foundation Health Plan, Inc.",1
128.127.0.0 - 128.127.255.255,RIPE Network Coordination Centre,2
216.224.224.0 - 216.224.255.255,Phoenix Internet,1
50.2.115.0 - 50.2.115.255,GRS Corporation,1
172.241.80.0 - 172.241.83.255,"Leaseweb USA, Inc.",1
180.152.0.0 - 180.159.255.255,Beijing 100032,1
129.10.0.0 - 129.10.255.255,Northeastern University,1
105.72.128.0 - 105.72.255.255,Provider 36884 Wana Corporate,2
74.126.95.0 - 74.126.95.255,"FTP Today, Inc.",1
64.202.96.0 - 64.202.127.255,Server Central Network,2
15.204.165.128 - 15.204.165.255,OVH US LLC,4
104.237.0.0 - 104.237.15.255,Hosteros LLC,2
222.28.0.0 - 222.31.255.255,Beijing Regional Network,2
218.40.12.0/24,"YAMATO SYSTEM DEVELOPMENT CO., LTD.",1
216.124.0.0 - 216.125.255.255,Illinois Century Network,1
74.32.0.0 - 74.47.255.255,"Frontier Communications of America, Inc.",1
103.66.238.0 - 103.66.239.255,"AP Network Communication & Technology Sole CO.,LTD",1
154.92.43.0 - 154.92.43.255,"Digital Core Technology Co., Ltd",1
58.96.192.0 - 58.96.255.255,Starhub Ltd.,1
208.86.160.0 - 208.86.163.255,JCWIFI.COM,1
23.228.128.0 - 23.228.191.255,Google Fiber Inc.,1
208.72.56.0 - 208.72.59.255,Swishmail,1
154.222.229.0 - 154.222.229.255,Longteng Cloud Technology Limited,2
115.9.78.0 - 115.9.78.127 (/25),Korea Telecom,2
189.191.174.0/24,Gestión de direccionamiento UniNet,1
119.147.98.0 - 119.147.98.255,beijingshidongchengbeijingshihaidianquzhongguancundonglu8haodongshengdasha6ceng605B,1
42.60.0.0 - 42.61.255.255,SingNet Pte Ltd,2
122.54.131.132 - 122.54.131.132,This space has been assigned as STATIC,1
119.228.0.0 - 119.228.127.255,OPTAGE Inc.,1
27.110.114.0 - 27.110.114.255,"Cable Networks Akita Co.,Ltd.",1
203.137.161.0/24,IDC Frontier Inc.,2
119.46.176.0 - 119.46.191.255,"True Internet Co., Ltd.",1
183.188.128.0 - 183.188.143.255,China Unicom Shanxi Province Network,2
142.44.135.0 - 142.44.135.255,"OVH Hosting, Inc.",1
155.131.0.0 - 155.133.255.255,RIPE Network Coordination Centre,2
66.152.167.0 - 66.152.177.63,MULTACOM CORPORATION,2
118.50.206.128 - 118.50.206.255 (/25),Korea Telecom,2
103.242.40.0 - 103.242.43.255,"C-PRO CO., LTD.",1
131.114.0.0 - 131.117.255.255,RIPE Network Coordination Centre,1
153.120.35.0 - 153.120.35.255,SAKURA Internet Inc.,1
218.147.70.0 - 218.147.70.255 (/24),Korea Telecom,1
103.139.92.0 - 103.139.93.255,"Holiday West Road East, Huiji District, Zhengzhou City, Henan",1
103.63.4.0 - 103.63.7.255,"SULOONG (HONGKONG) CO., LIMITED",2
173.232.84.0 - 173.232.87.255,ServerHub Los Angeles,1
74.121.8.0 - 74.121.15.255,"Global Data Link, Inc",1
66.33.6.0 - 66.33.6.255,Rival5 Technologies Corporation,1
148.59.192.0 - 148.59.195.255,"Fatbeam, LLC",1
118.107.40.0 - 118.107.47.255,RACKIP CONSULTANCY PTE. LTD.,1
102.222.78.0 - 102.222.78.255,AS328703,1
103.177.66.0 - 103.177.67.255,Hasten Network Pvt Ltd,1
99.199.0.0 - 99.199.255.255,TELUS Communications Inc.,1
69.54.48.0 - 69.54.63.255,OneCleveland,1
72.21.192.0 - 72.21.223.255,"Amazon.com, Inc.",1
202.231.240.0/26,"IMIZU CABLE NETWORK CO.,LTD.",1
103.195.48.0 - 103.195.51.255,Action POS LLC,2
221.156.226.64 - 221.156.226.127 (/26),KT,1
210.114.0.0 - 210.114.63.255 (/18),Korea Telecom,2
177.38.99.128/26,Tribunal Regional do Trabalho da 1a Regi�o,1
211.142.96.0 - 211.142.207.255,China Mobile communications corporation,2
216.15.149.0 - 216.15.149.255,"Advanced Online Solutions, Inc.",1
50.126.64.0 - 50.126.127.255,Ziply Fiber,1
71.92.0.0 - 71.92.15.255,Charter Communications,2
211.206.149.0 - 211.206.149.255 (/24),SK Broadband Co Ltd,1
45.76.146.0 - 45.76.147.255,"Vultr Holdings, LLC",1
110.227.192.0 - 110.227.255.255,INDIA,1
12.176.152.64 - 12.176.152.79,DWSC INC,1
202.37.100.0 - 202.37.101.255,Two Degrees Mobile Limited,2
206.47.43.0 - 206.47.255.255,Bell Canada,1
59.95.104.0 - 59.95.255.255,BSNL Internet,1
202.148.52.0 - 202.148.55.255,Mify Solutions Pvt. Ltd.,2
216.243.192.0 - 216.243.239.255,LightEdge Solutions,1
170.103.128.0 - 170.103.255.255,Worthington Industries Inc.,1
199.105.0.0 - 199.108.255.255,CERFnet,1
222.232.43.0 - 222.232.43.255 (/24),SK Broadband Co Ltd,1
59.152.225.0 - 59.152.243.255,HKBN Enterprise Solutions HK Limited,2
43.247.188.0 - 43.247.191.255,"Haidian District,Beijing,China.",1
27.89.251.0 - 27.89.251.255,KDDI CORPORATION,1
208.34.243.192 - 208.34.243.255,HORIZON BEVERAGE,1
103.179.100.0 - 103.179.101.255,Route Object,1
207.226.0.0 - 207.226.255.255,"PCCW Global, Inc.",1
64.79.64.0 - 64.79.95.255,eNET Inc.,1
103.8.116.0 - 103.8.119.255,route for 103.8.118.0/24,2
60.28.232.0 - 60.28.235.255,CNC Group CHINA169 Tianjin Province Network,7
63.254.152.0 - 63.254.159.255,"TierPoint, LLC",1
103.176.84.0 - 103.176.85.255,Solve The Network,1
182.74.44.0 - 182.74.44.63,INDIA,1
187.63.216.0/25,SWW Informatica Ltda ME,1
173.255.152.0 - 173.255.159.255,Calligo (Canada) Inc.,1
183.89.0.0 - 183.89.255.255,Triple T Broadband Public Company Limited,2
196.196.128.0 - 196.196.191.255,Route,1
162.245.216.0 - 162.245.223.255,HostUS,1
24.176.48.0 - 24.176.63.255,Charter Communications,1
60.245.43.0 - 60.245.43.31,Taipei Taiwan,1
198.179.64.0 - 198.179.127.255,Charter Communications Inc,1
199.255.84.0 - 199.255.87.255,"Delta Media Group, Inc",3
64.120.44.0 - 64.120.47.255,"LeaseWeb USA, Inc. New York",1
177.37.128.0/17,BRISANET SERVICOS DE TELECOMUNICACOES LTDA,1
210.252.160.0-210.252.255.255,"Open Data Network(JAPAN TELECOM CO.,LTD.)",1
12.205.220.96 - 12.205.220.127,ACC-BLUE RIM NETWORKS,1
199.80.52.0 - 199.80.52.255,Webzilla Inc.,1
186.33.192.0/18,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,1
166.113.32.0 - 166.113.63.255,LocalTel Communications,1
104.83.88.0 - 104.83.91.255,"Akamai International, BV",1
136.232.0.0 - 136.233.255.255,Asia Pacific Network Information Centre,1
27.125.0.0 - 27.125.127.255,"ULNetworks Co., Ltd.",1
45.73.159.192 - 45.73.159.199,Cole Scott & Kissane PA,1
198.144.178.0 - 198.144.178.63,Lixux OU (VATID EE101773168),2
154.206.181.0 - 154.206.181.255,Starbow Ltd,1
204.236.128.0 - 204.236.191.255,"Amazon.com, Inc.",1
198.100.156.0 - 198.100.157.255,OVH (NWK),1
61.221.12.0 - 61.221.12.127,Taipei Taiwan,2
200.2.160.0/20,Telecommunicationcompany Suriname - TeleSur,1
103.132.52.0 - 103.132.55.255,"Kajen, Kabupaten Pekalongan",1
210.241.192.0 - 210.241.223.255,"334, Sze Chuan Road, Sec. 1, Panchiao Taipei Hsien, Taiwan",1
125.230.0.0 - 125.230.255.255,Taipei Taiwan,1
115.124.42.0 - 115.124.42.255,NIXI,1
76.241.128.0 - 76.251.255.255,AT&T Corp.,1
107.173.87.0 - 107.173.87.255,RackNerd LLC,3
68.232.32.0 - 68.232.47.255,Edgecast Inc.,3
167.94.162.0 - 167.94.165.255,RIPE Network Coordination Centre,1
70.56.0.0 - 70.59.255.255,"CenturyLink Communications, LLC",3
200.111.128.0/17,ENTEL CHILE S.A.,1
61.133.101.48 - 61.133.101.63,CNC Group CHINA169 Shandong Province Network,2
182.171.232.64 - 182.171.232.127,So-net Service,1
27.116.24.0 - 27.116.31.255,"CYBERLINKS CO.,LTD.",2
190.210.192.0/18,NSS S.A.,1
66.234.4.0 - 66.234.15.255,Aptum Technologies,1
103.13.220.0 - 103.13.221.255,90QH,1
209.150.64.0 - 209.150.95.255,"Level 3 Parent, LLC",2
130.214.128.0 - 130.214.255.255,SAP,3
67.231.32.0 - 67.231.47.255,Ritter Communications,2
111.118.0.0 - 111.118.127.255,HYUNDAI COMMUNICATIONS   NETWORK,1
154.210.20.0 - 154.210.20.255,Longteng Cloud Technology Limited,1
203.65.88.0 - 203.65.88.255,Taipei Taiwan,1
175.110.88.0 - 175.110.88.255,Orient Express LDI Limited,1
208.85.92.0 - 208.85.95.255,VPSie INC,1
207.200.0.0 - 207.200.63.255,LightEdge Solutions,1
64.152.0.0 - 64.159.255.255,"Level 3 Parent, LLC",1
199.91.64.0 - 199.91.71.255,"HIVELOCITY, Inc.",2
45.204.105.0 - 45.204.105.255,INTERCONTINENTAL INTERNET DATA CORP,1
180.23.128.0 - 180.23.255.255,Open Computer Network,1
222.112.149.0 - 222.112.149.255 (/24),KT,1
203.109.128.0 - 203.109.159.255,One New Zealand Limited,1
75.98.38.0 - 75.98.95.255,Unitas Global,3
104.156.80.0 - 104.156.95.255,"Fastly, Inc.",1
61.238.248.176 - 61.238.248.179,Hong Kong Broadband Network Ltd,2
45.124.124.0 - 45.124.127.255,shanghai wexchange network technology Co. Ltd.,1
45.127.125.0 - 45.127.125.255,"7/F, TRANS ASIA CTR 18 KIN HONG ST, KWAI CHUNG HONGKONG",1
167.8.0.0 - 167.8.255.255,TEGNA Inc.,1
149.56.108.0 - 149.56.111.255,"OVH Hosting, Inc.",1
190.196.216.128/25,ORBYTAMOBILE,1
66.112.208.0 - 66.112.223.255,IT7 Networks Inc,1
118.160.0.0 - 118.160.255.255,Taipei Taiwan,1
216.250.248.0 - 216.250.255.255,"Majestic Hosting Solutions, LLC",1
187.95.96.0/19,Ligga Telecomunica��es S.A.,1
36.232.0.0 - 36.232.255.255,Taipei Taiwan,2
205.237.207.0 - 205.237.207.127,telxcomputers,1
154.210.17.0 - 154.210.17.255,Longteng Cloud Technology Limited,1
128.86.0.0 - 128.87.255.255,RIPE Network Coordination Centre,2
23.216.204.0 - 23.216.207.255,"Akamai International, BV",1
189.151.183.0/24,Gestión de direccionamiento UniNet,2
45.228.208.0/22,INDAX SPA,1
110.164.0.0 - 110.164.63.255,Triple T Broadband Public Company Limited,1
180.232.110.0 - 180.232.110.255,"Eastern Telecommunications Philippines, Inc.",1
154.213.68.0 - 154.213.68.255,Longteng Network,1
42.201.64.0 - 42.201.127.255,No.10 NanSanHuanXiLu FengTai BeiJing China,1
216.150.96.0 - 216.150.127.255,"MBO Video, LLC",1
199.243.253.0 - 199.243.253.255,Quebec Internet Inc,1
154.204.118.0 - 154.204.118.255,LuoGeLang (France) Limited,1
15.204.204.0 - 15.204.205.255,OVH US LLC,1
198.20.64.0 - 198.20.127.255,SingleHop LLC,1
172.111.36.0 - 172.111.39.255,GLOBALTELEHOST Corp.,5
159.7.0.0 - 159.8.255.255,RIPE Network Coordination Centre,1
43.251.44.0 - 43.251.47.255,"Science-Rainbow Technology(Hong Kong) Co., Limited",1
186.108.11.0/24,Telecom Loopbacks,1
222.231.0.0 - 222.231.63.255,LG DACOM KIDC,1
210.233.80.0/22,EKZM Corp.,1
45.77.50.0 - 45.77.51.255,"Vultr Holdings, LLC",2
71.8.112.0 - 71.8.127.255,Charter Communications,3
23.201.152.0 - 23.201.155.255,"Akamai International, BV",1
181.212.40.0/29,Municipalidad de Tierra Amarilla,1
170.130.51.0 - 170.130.51.255,galaxiehost.com,1
128.192.0.0 - 128.192.255.255,University of Georgia,1
54.39.118.0 - 54.39.118.255,"OVH Hosting, Inc.",1
220.67.188.0 - 220.67.191.255 (/22),ANSAN COLLEGE,3
72.232.0.0 - 72.233.127.255,"DataPipe, Inc.",1
104.148.128.0 - 104.148.255.255,Optimum Online,1
45.200.19.0 - 45.200.19.255,HongKong MEGALAYER Technology,2
23.249.176.0 - 23.249.191.255,GCHAO LLC,2
119.42.80.0 - 119.42.95.255,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok Thailand,1
64.29.64.0 - 64.29.95.255,NetEnterprise Inc.,1
154.92.40.0 - 154.92.40.255,"Digital Core Technology Co., Ltd",1
204.144.57.0 - 204.144.57.255,COOK GROUP INC,1
75.131.192.0 - 75.131.207.255,Charter Communications,1
209.212.128.0 - 209.212.143.255,Alma Telephone,1
118.47.201.0 - 118.47.201.255 (/24),Korea Telecom,1
49.50.64.0 - 49.50.127.255,CYFUTURE-VSNL-OBJECT,2
207.5.0.0 - 207.5.63.255,"Hargray Communications Group, Inc.",1
110.78.128.0 - 110.78.191.255,10 Fl. 72. CAT TELECOM TOWER Bangrak Bangkok Thailand,1
98.191.2.0 - 98.191.2.255,Cox Communications Inc.,1
211.230.136.0 - 211.230.136.63 (/26),Korea Telecom,1
103.102.46.0 - 103.102.46.255,Global Cloud Infrastructure LTD,2
43.240.144.0 - 43.240.147.255,"Shenzhen Katherine Heng Technology Information Co., Ltd.",2
199.193.240.0 - 199.193.243.255,Big Dog Internet,1
208.77.144.0 - 208.77.151.255,VIRTBIZ Internet Services,1
103.48.80.0 - 103.48.83.255,BKNS-VN,1
66.98.0.0 - 66.98.95.255,Latin American and Caribbean IP address Regional Registry,3
104.206.59.0 - 104.206.59.255,CyberGate Web Solutions,2
69.162.0.0 - 69.162.63.255,"MGM Resorts International Operations, Inc.",1
144.202.33.0 - 144.202.33.255,"Vultr Holdings, LLC",1
69.51.64.0 - 69.51.127.255,"Blackfoot Telephone Cooperative, Inc.",2
133.250.0.0/16,"NRI Secure Technologies,Ltd.",2
134.56.128.0 - 134.56.255.255,Hotwire Fision,1
103.22.156.0 - 103.22.159.255,SplunkNet Inc,2
197.39.0.0 - 197.39.255.255,Telecom-Egypt-Data,1
43.233.21.0 - 43.233.21.127,ARTERIA Networks Corp.,1
199.167.252.0 - 199.167.255.255,SAMSA,1
154.195.197.0 - 154.195.197.255,Waterloo Network Company Limited,1
40.128.0.0 - 40.133.31.255,Windstream Communications LLC,1
209.16.158.0 - 209.16.158.255,RIPE Network Coordination Centre,1
154.210.39.0 - 154.210.39.255,"HK Qianlong Technology Co., Limited",1
66.25.0.0 - 66.25.255.255,Charter Communications Inc,2
182.255.44.0 - 182.255.47.255,"Hong Kong YunLiFang Co., Limited",1
177.125.160.0/21,FP Telecomunicacoes Ltda,1
211.233.73.64 - 211.233.73.71 (/29),hanwol,4
190.194.0.0/15,Telecom Argentina S.A.,1
216.144.240.0 - 216.144.255.255,"Limestone Networks, Inc.",1
115.126.1.0 - 115.126.1.255,Forewin Telecom Group Limited,2
192.139.148.0 - 192.139.148.255,Universite du Quebec,2
218.156.30.0 - 218.156.30.255 (/24),KT,1
103.138.196.0 - 103.138.199.255,NIXI,2
154.213.63.0 - 154.213.63.255,"Digital Core Technology Co., Ltd",1
223.25.144.0 - 223.25.159.255,Japan Communications Inc.,2
128.76.0.0 - 128.76.255.255,RIPE Network Coordination Centre,1
199.244.76.0 - 199.244.79.255,SherWeb inc.,1
45.76.130.0 - 45.76.131.255,"Vultr Holdings, LLC",1
76.9.64.0 - 76.9.95.255,Sierra Tel Internet,1
149.28.242.0 - 149.28.243.255,"Vultr Holdings, LLC",1
45.236.220.0/22,UPNETIX TELECOM,1
121.83.250.0 - 121.83.251.255,"OF Tech Co.,Ltd.",3
64.85.0.0 - 64.85.23.255,SECUREWEBS INC,1
187.115.82.0/29,Brasal Bras�lia Servi�os Automotores S/A,1
119.204.163.0 - 119.204.163.255 (/24),Chungbukbonbujang,1
204.53.0.0 - 204.55.255.255,Deere & Company,1
45.207.102.0 - 45.207.102.255,AresIDC Limited,1
24.196.80.0 - 24.196.111.255,Charter Communications,1
222.113.41.0 - 222.113.41.255 (/24),Korea Telecom,1
64.225.128.0 - 64.225.143.255,RIPE Network Coordination Centre,1
200.75.9.144/29,Servicios Integrales de Cobranza S.A.,1
198.55.96.0 - 198.55.127.255,QuadraNet Enterprises LLC,1
4.14.0.0 - 4.14.255.255,"Level 3 Communications, Inc.",1
24.176.96.0 - 24.176.127.255,Charter Communications,1
104.85.252.0 - 104.85.255.255,"Akamai International, BV",1
208.73.176.0 - 208.73.179.255,Northampton Community College,1
104.194.8.0 - 104.194.11.255,ReliableSite.Net LLC,1
107.151.218.120 - 107.151.218.127,yuying,1
45.189.119.0/24,"DEPARTAMENTO ADMINISTRATIVO DE CIENCIA, TECNOLOGIA E INNOVACION (COLCIENCIAS)",1
190.104.128.0/18,Núcleo S.A.,1
184.28.52.0 - 184.28.53.255,"Akamai International, BV",2
103.6.212.0 - 103.6.212.255,RimuHosting NZ,1
210.134.62.0/24,Kagoya Japan Corporation,2
142.0.192.0 - 142.0.207.255,"Servers.com, Inc.",1
182.64.0.0 - 182.79.255.255,Bharti Airtel Limited,2
202.160.140.0 - 202.160.143.255,"No1 Hengfeng Road, Zhabei District, Shanghai",2
54.39.7.128 - 54.39.7.255,"OVH Hosting, Inc.",1
154.220.115.0 - 154.220.115.255,"Shenzhen Wanghu Technology Co., Ltd.",1
66.85.72.0 - 66.85.79.255,"Joe's Datacenter, LLC",2
45.199.154.0 - 45.199.154.255,CenturyNetworks LTD,3
211.181.178.0 - 211.181.178.255 (/24),LG Uplus,1
184.30.208.0 - 184.30.223.255,"Akamai International, BV",1
154.205.84.0 - 154.205.84.255,ADA Digital Global Inc,1
23.217.184.0 - 23.217.187.255,"Akamai International, BV",1
23.15.132.0 - 23.15.133.255,"Akamai International, BV",1
75.139.96.0 - 75.139.127.255,Charter Communications,2
177.155.228.0/22,CHECK-UP NET TELECOM,1
12.183.26.0 - 12.183.26.255,MANUFACTURERS TRADERS TRUST,1
203.143.90.0 - 203.143.90.255,Hosting,1
49.231.32.0 - 49.231.255.255,ADVANCED WIRELESS NETWORK COMPANY LIMITED,1
201.236.128.0/18,Telefonica Empresas,1
207.244.98.96 - 207.244.98.127,"Software Publications, Inc.",1
124.121.192.0 - 124.121.255.255,CDN route object for GoogleCache_asiainfo-nak4,1
154.203.168.0 - 154.203.168.255,INTERCONTINENTAL INTERNET DATA CORP,1
216.31.64.0 - 216.31.127.255,RIPE Network Coordination Centre,1
202.120.24.240 - 202.120.24.255,Polaroid Singapore Pte Ltd,1
163.180.0.0 - 163.180.255.255,Kyung Hee University,1
154.91.48.0 - 154.91.48.255,Longteng Cloud Technology Limited,1
50.252.80.0 - 50.252.95.255,"Comcast Cable Communications, LLC",1
192.250.32.0 - 192.250.63.255,State Street Bank and Trust Company,1
161.129.128.0 - 161.129.135.255,Westman Communications Group,1
66.172.96.0 - 66.172.127.255,LocalTel Communications,2
66.56.96.0 - 66.57.255.255,Charter Communications Inc,1
211.76.123.0 - 211.76.123.255,Taipei Taiwan,1
162.209.160.0 - 162.209.160.255,queren,2
104.140.120.0 - 104.140.120.255,xiaoyuhost,1
128.78.0.0 - 128.78.255.255,RIPE Network Coordination Centre,1
72.44.192.0 - 72.44.255.255,Iron Mountain Data Center,1
45.224.185.0/24,MUNICIPIO DE ESTANCIA,2
103.64.148.0 - 103.64.151.255,Relentless Hosting Pty Ltd,1
67.210.96.0 - 67.210.127.255,IPXO LLC,1
70.39.250.0 - 70.39.251.255,"InMotion Hosting, Inc.",1
133.130.26.0/23,"GMO Pepabo, Inc.",1
61.83.128.0 - 61.83.128.255 (/24),Dongwongwahakgisuldaehakgyo,1
102.218.241.0 - 102.218.241.255,Level-7 Internet,1
119.203.149.0 - 119.203.149.255 (/24),Korea Telecom,1
50.221.224.0 - 50.221.255.255,"Comcast Cable Communications, LLC",1
41.175.0.0 - 41.175.31.255,Liquid Telecommunications Operations Limited,1
154.213.98.0 - 154.213.98.255,"Digital Core Technology Co., Ltd",1
175.45.0.0 - 175.45.62.255,HKBN Enterprise Solutions HK Limited,1
119.106.12.0 - 119.106.12.255,DION (KDDI CORPORATION),1
147.255.0.0 - 147.255.15.255,"LeaseWeb USA, Inc. Los Angeles",1
132.209.0.0 - 132.209.255.255,Universite du Quebec a Trois-Rivieres,1
200.45.208.0/24,Midas-Telecom,2
187.175.0.0/16,UNINET,2
49.243.0.0 - 49.243.127.255,"FreeBit Co., Ltd.",1
218.45.16.0/23,"Netforest,Inc",1
107.189.8.0 - 107.189.11.255,BuyVM,1
216.100.88.0 - 216.100.95.255,Orange County Department of Education,1
200.230.71.0/24,FUNDACAO EDUCACIONAL MUNICIPIO DE ASSIS,1
173.234.232.0 - 173.234.235.255,"LeaseWeb USA, Inc. New York",1
119.201.74.0 - 119.201.74.255 (/24),KT,2
189.157.37.0/24,Gestión de direccionamiento UniNet,1
49.213.192.0 - 49.213.207.255,Taichung City Taiwan,1
167.94.170.0 - 167.94.173.255,RIPE Network Coordination Centre,1
209.182.252.0 - 209.182.255.255,"Brownrice Internet, Inc.",1
12.97.50.0 - 12.97.50.63,THE GO SOLUTION,1
108.59.160.0 - 108.59.175.255,"Dynamic Network Services, Inc.",1
162.209.165.0 - 162.209.165.255,fuwuqi,1
181.234.0.0/15,COLOMBIA TELECOMUNICACIONES S.A. ESP,1
59.5.136.32 - 59.5.136.63 (/27),KT,1
211.195.14.0 - 211.195.14.127 (/25),Korea Telecom,1
24.142.0.0 - 24.142.63.255,EastLink,1
119.194.204.0 - 119.194.204.255 (/24),KT,1
207.40.144.0 - 207.40.144.255,"Coleman County Telephone Cooperative, Inc.",1
110.4.40.0 - 110.4.47.255,Exa Bytes Network Sdn.Bhd.,1
222.232.0.0 - 222.239.255.255 (/13),SK Broadband Co Ltd,1
105.112.0.0 - 105.127.255.255,Airtel Networks Limited,1
122.10.68.0 - 122.10.79.255,HongKong Service,2
167.160.44.0 - 167.160.47.255,Web2Objects LLC,2
220.87.144.64 - 220.87.144.127 (/26),Korea Telecom,1
179.43.112.0/20,Dattatec.com,1
177.67.112.0/21,TRAY TECNOLOGIA EM E-COMMERCE LTDA,1
68.15.64.0 - 68.15.95.255,Cox Communications Inc.,1
190.116.0.0/15,America Movil Peru S.A.C.,1
43.230.28.0 - 43.230.31.255,PT. BIT TEKNOLOGI NUSANTARA,1
169.236.0.0 - 169.236.255.255,"University of California, Merced",1
202.226.39.0/24,XSERVER Inc.,1
69.21.0.0 - 69.21.255.255,TDS TELECOM,2
96.20.0.0 - 96.23.255.255,Videotron Ltee,1
119.8.80.0 - 119.8.95.255,HUAWEI INTERNATIONAL PTE. LTD.,1
66.169.80.0 - 66.169.95.255,Charter Communications,2
72.21.80.0 - 72.21.95.255,Edgecast Inc.,1
45.116.166.0 - 45.116.166.255,Data Center Network Limited,1
144.202.106.0 - 144.202.107.255,"Vultr Holdings, LLC",1
190.115.128.0/18,Télécommunications de Haití (Teleco),1
191.240.224.0/19,Friburgo Online LTDA ME,1
